,sign,frequency
0,NA,8498
1,MA,3364
2,MU,261
3,IGI,521
4,ME,1873
5,ḪU,1275
6,UD,695
7,TUK,429
8,SÌLA,3819
9,40,258
10,3,1387
11,ḪAL,7008
12,LÚ,650
13,MEŠ,4555
14,UN,744
15,RA,2003
16,8,377
17,BU,941
18,MIN,1707
19,2,1717
20,KI,2126
21,1,2512
22,½,624
23,10,732
24,5,595
25,AŠ,2767
26,TAB,38
27,IŠ,4598
28,NU,701
29,DA,3395
30,MI,1140
31,PAP,584
32,DIŠ,544
33,U,721
34,ÀŠ,152
35,AM,90
36,ḪI,731
37,ŠÀ,25
38,80,108
39,9,407
40,AG,999
41,MAN,1606
42,EŠ₅,292
43,BAR,1493
44,USSU,121
45,ŠÈ,483
46,KUR,2237
47,SAL,2719
48,TI,1070
49,RI,1022
50,IA,1306
51,BA,1987
52,DU,3006
53,A,589
54,ŠE,1327
55,NÍG,1957
56,UR,1055
57,GAL,987
58,IB,957
59,Ú,343
60,KAL,368
61,ḪA,1031
62,SA,399
63,EŠ,99
64,LIMMU₄,158
65,RU,247
66,TUR,274
67,BAD,1910
68,UL,1534
69,90,88
70,4,795
71,PÍR,358
72,KU,898
73,MAŠ,168
74,IMIN,107
75,ŠU,529
76,TUM,69
77,LU,375
78,ARAD,98
79,ÁŠ,158
80,IG,371
81,GÁN,217
82,ZÍ,669
83,LI,587
84,AN,3707
85,ITI,1370
86,IÁ,156
87,KAR,276
88,GIŠ,1209
89,UM,1090
90,BI,278
91,MAR,862
92,GEŠTIN,228
93,EŠŠANA,304
94,TU,377
95,RÁK,43
96,PA,403
97,ZA,620
98,AB,513
99,60,133
100,IR,890
101,ḪUB,26
102,NUMUN,32
103,MÁŠ,67
104,UG,221
105,LA,222
106,GU₄,29
107,NI,235
108,E,130
109,IN,170
110,SU,128
111,PI,513
112,6,473
113,GI,199
114,KASKAL,17
115,TE,187
116,ANŠE,74
117,Á,21
118,20,1316
119,TAR,156
120,30,268
121,DIN,67
122,MUŠ,24
123,70,118
124,SI,29
125,AD,169
126,ḪAR,117
127,SUD,97
128,I,59
129,KIN,18
130,DUB,72
131,TAG,5
132,50,188
133,EN,24
134,GÌR,7
135,ŠID,11
136,7,323
137,KAM,46
138,GIM,18
139,ZIG,23
140,GAG,33
141,Pê,6
142,Tāw,7
143,Gîmel,3
144,Bêt,4
145,Rêš,4
146,Yôd,4
147,ʾālep,2
148,x,79
149,PAN,47
150,AḪ,11
151,⅓,4
152,⅔,3
153,GIR,5
154,ZAG,3
155,ŠÌTA,11
156,ÉRIN,4
157,AZ ,7
158,NE,20
159,GIG,3
160,SAR,8
161,Lāmed,2
162,Nûn,4
163,EL,10
164,Sāmek,2
165,Ḥêt,2
166,ʾ,2
167,Šîn,2
168,14,2
169,IM,4
170,KI+MIN,2
171,GI₄,2
172,KÙ,5
173,½ ,2
174,ILIMMU,2
175,TA,2
176,ZIB,4
177,NAB,4
178,ZI,2
179,APIN,2
180,23,2
181,KI ,3
182,y,3
183,Zayin,2
184,HU,2
